Sort Function,Input Size,Elapsed Time (s),Run Number
Bubble Sort,10,0.0,10000.0
Bubble Sort,100,1.0309219360351562,10000.0
Bubble Sort,500,2.9990673065185547,10000.0
Bubble Sort,1000,4.997968673706055,10000.0
Bubble Sort,5000,14.991521835327148,10000.0
Bubble Sort,10000,31.981229782104492,10000.0
Insertion Sort,10,0.0,10000.0
Insertion Sort,100,0.9992122650146484,10000.0
Insertion Sort,500,0.99945068359375,10000.0
Insertion Sort,1000,1.9989013671875,10000.0
Insertion Sort,5000,23.985862731933594,10000.0
Insertion Sort,10000,36.98110580444336,10000.0
Quick Sort,10,0.0,10000.0
Quick Sort,100,0.0,10000.0
Quick Sort,500,2.9959678649902344,10000.0
Quick Sort,1000,3.9975643157958984,10000.0
Quick Sort,5000,21.98505401611328,10000.0
Quick Sort,10000,49.971580505371094,10000.0
Radix Sort,10,0.0,10000.0
Radix Sort,100,0.0,10000.0
Radix Sort,500,0.9996891021728516,10000.0
Radix Sort,1000,1.9986629486083984,10000.0
Radix Sort,5000,22.98760414123535,10000.0
Radix Sort,10000,38.9559268951416,10000.0
Selection Sort,10,0.9996891021728516,10000.0
Selection Sort,100,0.0,10000.0
Selection Sort,500,1.9989013671875,10000.0
Selection Sort,1000,4.997014999389648,10000.0
Selection Sort,5000,19.98591423034668,10000.0
Selection Sort,10000,59.96131896972656,10000.0
